2025-04-11T15:02:41.081314 - elapsedMillis: 62938, buttonPresses: 3
2025-04-11T15:03:26.349369 - elapsedMillis: 37366, buttonPresses: 4
2025-04-11T15:05:18.706370 - elapsedMillis: 53096, buttonPresses: 2
2025-04-11T15:06:30.415474 - elapsedMillis: 45285, buttonPresses: 5
2025-04-11T15:07:50.898304 - elapsedMillis: 45138, buttonPresses: 6
2025-04-11T15:09:06.318762 - elapsedMillis: 43863, buttonPresses: 4
2025-04-11T15:12:39.509951 - elapsedMillis: 44470, buttonPresses: 3
2025-04-11T15:13:57.548587 - elapsedMillis: 47741, buttonPresses: 3
2025-04-11T15:15:01.084832 - elapsedMillis: 47181, buttonPresses: 5
2025-04-11T15:15:54.311832 - elapsedMillis: 37366, buttonPresses: 3
2025-04-11T15:19:03.560602 - elapsedMillis: 50264, buttonPresses: 4
2025-04-11T15:19:51.886648 - elapsedMillis: 44630, buttonPresses: 5
2025-04-11T15:21:14.226068 - elapsedMillis: 43202, buttonPresses: 2
2025-04-11T15:22:05.449048 - elapsedMillis: 44056, buttonPresses: 0
2025-04-11T15:25:32.697141 - elapsedMillis: 46513, buttonPresses: 3
2025-04-11T15:26:51.030030 - elapsedMillis: 43181, buttonPresses: 4
2025-04-11T15:31:34.514946 - elapsedMillis: 38528, buttonPresses: 4
2025-04-11T15:35:41.823261 - elapsedMillis: 42687, buttonPresses: 3
2025-04-11T15:38:01.956587 - elapsedMillis: 40224, buttonPresses: 3
2025-04-11T15:41:30.325653 - elapsedMillis: 46126, buttonPresses: 2
2025-04-11T15:42:48.497173 - elapsedMillis: 37366, buttonPresses: 3
2025-04-11T15:44:56.158471 - elapsedMillis: 40951, buttonPresses: 4
2025-04-11T15:47:44.454102 - elapsedMillis: 50876, buttonPresses: 2
2025-04-11T15:49:10.224631 - elapsedMillis: 39142, buttonPresses: 5
2025-04-11T15:52:08.722808 - elapsedMillis: 40831, buttonPresses: 3
2025-04-11T15:55:00.249189 - elapsedMillis: 53217, buttonPresses: 2
2025-04-11T15:59:19.189720 - elapsedMillis: 48262, buttonPresses: 4
2025-04-11T16:00:33.381647 - elapsedMillis: 42293, buttonPresses: 3
2025-04-11T16:03:25.015960 - elapsedMillis: 51177, buttonPresses: 2
2025-04-11T16:04:50.358926 - elapsedMillis: 45592, buttonPresses: 3
2025-04-11T16:08:08.887109 - elapsedMillis: 48191, buttonPresses: 5
2025-04-11T16:10:52.722509 - elapsedMillis: 104455, buttonPresses: 7
2025-04-11T16:12:54.294331 - elapsedMillis: 42617, buttonPresses: 3
2025-04-11T16:14:38.238368 - elapsedMillis: 42160, buttonPresses: 3
2025-04-11T16:18:39.578663 - elapsedMillis: 44804, buttonPresses: 4
2025-04-11T16:21:38.237139 - elapsedMillis: 54662, buttonPresses: 9
2025-04-11T16:24:25.748474 - elapsedMillis: 40130, buttonPresses: 6
2025-04-11T16:25:15.353231 - elapsedMillis: 43896, buttonPresses: 8
2025-04-11T16:26:04.761610 - elapsedMillis: 43816, buttonPresses: 7
2025-04-11T16:27:41.241291 - elapsedMillis: 38795, buttonPresses: 5
2025-04-11T16:29:21.727736 - elapsedMillis: 37366, buttonPresses: 3
2025-04-11T16:31:13.149986 - elapsedMillis: 37366, buttonPresses: 3
2025-04-11T16:32:39.161338 - elapsedMillis: 40491, buttonPresses: 3
2025-04-11T16:34:50.800942 - elapsedMillis: 40851, buttonPresses: 4
2025-04-11T16:42:51.411083 - elapsedMillis: 40845, buttonPresses: 3
2025-04-11T16:43:38.149044 - elapsedMillis: 40731, buttonPresses: 4
2025-04-11T16:44:43.113410 - elapsedMillis: 53070, buttonPresses: 7
2025-04-11T16:46:13.291854 - elapsedMillis: 37366, buttonPresses: 3
